ตาราง,ชื่อตาราง,ลำดับ,ฟิลด์,คำอธิบาย,"ระดับ M จำเป็น, R ควรมี, O เผื่อ"
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,2,author_seq,"ลำดับที่ของผู้แต่ง 1,2,3...",M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,3,researcher_id,รหัสนักวิจัย (ว่างได้ถ้าเป็นผู้ร่วมงานภายนอก),M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,4,author_name_full,ชื่อ-นามสกุลตามที่ปรากฏในผลงาน,M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,5,affiliation,หน่วยงานต้นสังกัดของผู้ร่วมงาน,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,6,is_first_author,ผู้ประพันธ์อันดับแรก Y/N,M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,7,is_corresponding_author,ผู้ประพันธ์บรรณกิจ Y/N,M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,8,is_essential_contributor,ผู้มีส่วนสำคัญทางปัญญา Y/N,M
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,9,contribution_percent,สัดส่วนการมีส่วนร่วม ร้อยละ 0-100,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,10,role_idea,ก. ความคิดริเริ่มและสมมุติฐาน,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,11,role_design,ข. การออกแบบ การทดลอง เครื่องมือวัด,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,12,role_data_analysis,ค. การจัดเก็บ วิเคราะห์ แปรผลข้อมูล,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,13,role_discussion,ง. การวิพากษ์ผล เปรียบเทียบองค์ความรู้เดิม,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,14,role_manuscript,จ. การมีส่วนร่วมเขียน manuscript,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,15,role_support,ฉ. การให้การสนับสนุน,R
B2,ผู้ร่วมงานและลักษณะการมีส่วนร่วม,16,role_other,ช. อื่น ๆ,O
,,,,,
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),1,output_id,รหัสผลงาน (เชื่อม B1),M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),2,venue_type,วารสาร/proceedings/monograph/รายงานวิจัยฉบับสมบูรณ์/หนังสือรวมบทความ,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),3,journal_name,ชื่อวารสาร,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),4,issn,ISSN,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),5,eissn,e-ISSN,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),6,publisher,สำนักพิมพ์/ผู้จัดพิมพ์,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),7,volume,ปีที่ (Volume),R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),8,issue,ฉบับที่ (Issue),R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),9,pages,เลขหน้า เช่น 120-135,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),10,published_date,วันที่ตีพิมพ์ YYYY-MM-DD,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),11,indexed_database,ฐานข้อมูลที่ปรากฏ คั่นด้วย ;,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),12,quartile,ควอไทล์ Q1/Q2/Q3/Q4,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),13,quartile_source_year,ปีของข้อมูลควอไทล์ที่อ้างอิง,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),14,impact_factor,Impact Factor,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),15,sjr,SCImago Journal Rank,O
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),16,citation_count,จำนวนการอ้างอิงของผลงานชิ้นนี้,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),17,citation_as_of_date,วันที่นับจำนวนการอ้างอิง YYYY-MM-DD,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),18,tci_tier,กลุ่มคุณภาพวารสาร TCI (1/2/3),R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),19,scope_level,ระดับชาติ/ระดับนานาชาติ,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),20,quality_level_text,ระดับคุณภาพตามเกณฑ์ ก.พ.อ.,M
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),21,conference_name,ชื่อการประชุมวิชาการ,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),22,conference_country,ประเทศที่จัดประชุม,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),23,conference_date,วันที่จัดประชุม YYYY-MM-DD,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),24,presentation_type,รูปแบบการนำเสนอ poster/oral,R
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),25,session_name,ชื่อ session,O
B3,แหล่งเผยแพร่ (วารสาร/ประชุมวิชาการ),26,indexing_url,ลิงก์หน้าผลงานในฐานข้อมูล,R
,,,,,
B4,ตำรา/หนังสือ,1,output_id,รหัสผลงาน (เชื่อม B1),M
B4,ตำรา/หนังสือ,2,book_kind,ตำรา/หนังสือ/บทความทางวิชาการ/พจนานุกรม/งานแปล,M
B4,ตำรา/หนังสือ,3,isbn,ISBN,R
B4,ตำรา/หนังสือ,4,publisher,สำนักพิมพ์,M
B4,ตำรา/หนังสือ,5,edition,ครั้งที่พิมพ์,R
B4,ตำรา/หนังสือ,6,print_run,จำนวนพิมพ์ (เล่ม),O
B4,ตำรา/หนังสือ,7,media_type,สิ่งพิมพ์/อิเล็กทรอนิกส์/e-book,M
B4,ตำรา/หนังสือ,8,publish_date,วันที่จัดพิมพ์เผยแพร่ YYYY-MM-DD,M
B4,ตำรา/หนังสือ,9,page_count,จำนวนหน้า,R
B4,ตำรา/หนังสือ,10,distribution_scope,ขอบเขตการเผยแพร่,R
B4,ตำรา/หนังสือ,11,used_in_course_code,รหัสรายวิชาที่ใช้ประกอบการสอน,R
,,,,,
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,1,ip_id,รหัสรายการ,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,2,output_id,รหัสผลงานที่เกี่ยวข้อง (ว่างได้),R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,3,researcher_id,รหัสนักวิจัยผู้ประดิษฐ์ (เชื่อม A1),M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,4,ip_type,สิทธิบัตรการประดิษฐ์/อนุสิทธิบัตร/สิทธิบัตรการออกแบบ/ลิขสิทธิ์/ความลับทางการค้า,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,5,title,ชื่อสิ่งประดิษฐ์/ผลงาน,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,6,application_no,เลขที่คำขอ,R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,7,filing_date,วันที่ยื่นคำขอ YYYY-MM-DD,R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,8,registration_no,เลขที่จดทะเบียน/เลขที่สิทธิบัตร,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,9,grant_date,วันที่ได้รับ YYYY-MM-DD,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,10,countries_covered,ประเทศที่ครอบคลุม คั่นด้วย ;,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,11,holder_name,ผู้ทรงสิทธิ,R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,12,inventor_names,รายชื่อผู้ประดิษฐ์ทั้งหมด คั่นด้วย ;,M
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,13,licensing_fee_total,ค่าธรรมเนียมใบอนุญาตรวม (บาท),R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,14,licensee_name,ผู้รับอนุญาตใช้สิทธิ,R
B5,สิทธิบัตร/ทรัพย์สินทางปัญญา,15,ip_status,ยื่นคำขอ/ประกาศโฆษณา/จดทะเบียนแล้ว/หมดอายุ,R
,,,,,
C1,โครงการวิจัยและแหล่งทุน,1,project_id,รหัสโครงการ,M
C1,โครงการวิจัยและแหล่งทุน,2,project_code,เลขที่โครงการตามระบบต้นทาง,R
C1,โครงการวิจัยและแหล่งทุน,3,title_th,ชื่อโครงการวิจัย (ไทย),M
C1,โครงการวิจัยและแหล่งทุน,4,title_en,ชื่อโครงการวิจัย (อังกฤษ),R
C1,โครงการวิจัยและแหล่งทุน,5,researcher_id,รหัสนักวิจัย (เชื่อม A1),M
C1,โครงการวิจัยและแหล่งทุน,6,role_in_project,หัวหน้าโครงการ (PI)/ผู้ร่วมวิจัย/ที่ปรึกษาโครงการ,M
C1,โครงการวิจัยและแหล่งทุน,7,funder_name,ชื่อแหล่งทุน,M
C1,โครงการวิจัยและแหล่งทุน,8,funder_type,ประเภทแหล่งทุน (ดู D5),R
C1,โครงการวิจัยและแหล่งทุน,9,budget_amount,งบประมาณที่ได้รับ ไม่ใส่จุลภาค,R
C1,โครงการวิจัยและแหล่งทุน,10,currency,สกุลเงิน THB/USD,R
C1,โครงการวิจัยและแหล่งทุน,11,fiscal_year_be,ปีงบประมาณ พ.ศ.,M
C1,โครงการวิจัยและแหล่งทุน,12,start_date,วันที่เริ่มโครงการ YYYY-MM-DD,R
C1,โครงการวิจัยและแหล่งทุน,13,end_date,วันที่สิ้นสุดโครงการ YYYY-MM-DD,R
C1,โครงการวิจัยและแหล่งทุน,14,contract_no,เลขที่สัญญารับทุน,O
C1,โครงการวิจัยและแหล่งทุน,15,project_status,ดำเนินการ/แล้วเสร็จ/ยุติ,R
C1,โครงการวิจัยและแหล่งทุน,16,linked_output_ids,รหัสผลงานที่เกิดจากโครงการนี้ คั่นด้วย ;,R
C1,โครงการวิจัยและแหล่งทุน,17,updated_at,วันเวลาแก้ไขล่าสุด,M
,,,,,
C2,การรับรองจริยธรรมการวิจัย,1,ethics_id,รหัสใบรับรอง,M
C2,การรับรองจริยธรรมการวิจัย,2,output_id,รหัสผลงานที่เกี่ยวข้อง,M ถ้าไม่มี project_id
C2,การรับรองจริยธรรมการวิจัย,3,project_id,รหัสโครงการที่เกี่ยวข้อง,M ถ้าไม่มี output_id
C2,การรับรองจริยธรรมการวิจัย,4,researcher_id,รหัสนักวิจัยผู้ขอรับรอง,M
C2,การรับรองจริยธรรมการวิจัย,5,ethics_category,วิจัยในมนุษย์/สัตว์ทดลอง/ชีวภาพ/GMO/ได้รับการยกเว้น/ไม่เข้าข่าย,M
C2,การรับรองจริยธรรมการวิจัย,6,certificate_no,เลขที่ใบรับรอง,M
C2,การรับรองจริยธรรมการวิจัย,7,committee_name,ชื่อคณะกรรมการที่รับรอง,R
C2,การรับรองจริยธรรมการวิจัย,8,approval_date,วันที่รับรอง YYYY-MM-DD,M
C2,การรับรองจริยธรรมการวิจัย,9,expiry_date,วันที่สิ้นอายุการรับรอง YYYY-MM-DD,R
C2,การรับรองจริยธรรมการวิจัย,10,exemption_reason,เหตุผลการยกเว้น,M
C2,การรับรองจริยธรรมการวิจัย,11,status,รับรองแล้ว/รอพิจารณา/ยกเว้น/ไม่เข้าข่าย,M
C2,การรับรองจริยธรรมการวิจัย,12,certificate_url,ลิงก์ไฟล์ใบรับรอง,R
,,,,,
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,1,usage_id,รหัสรายการ,M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,2,output_id,รหัสผลงาน (เชื่อม B1),M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,3,researcher_id,รหัสนักวิจัย (เชื่อม A1),M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,4,was_used,เคยใช้เสนอขอตำแหน่งแล้วหรือไม่ Y/N,M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,5,used_for_position,ใช้เสนอขอตำแหน่งใด ผศ./รศ./ศ.,M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,6,used_year_be,ปีที่ใช้เสนอขอ พ.ศ.,M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,7,quality_level_at_that_time,ระดับคุณภาพที่ได้รับในครั้งนั้น,M
C3,ประวัติการใช้ผลงานเสนอขอตำแหน่ง,8,result,ผลการพิจารณา ผ่าน/ปรับปรุง/ไม่ผ่าน,R
,,,,,
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,1,output_id,รหัสผลงาน (เชื่อม B1),M
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,2,researcher_id,รหัสนักวิจัย (เชื่อม A1),M
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,3,is_part_of_thesis,เป็นส่วนหนึ่งของวิทยานิพนธ์หรือไม่ Y/N,M
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,4,degree_level,ปริญญาโท/ปริญญาเอก,M
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,5,thesis_title,ชื่อวิทยานิพนธ์,M
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,6,institution,สถาบันที่สำเร็จการศึกษา,R
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,7,graduation_year_be,ปีที่สำเร็จการศึกษา พ.ศ.,R
C4,ผลงานที่เป็นส่วนหนึ่งของวิทยานิพนธ์,8,remark,รายละเอียดเพิ่มเติม,O
,,,,,
C5,ตัวชี้วัดผลงานรายบุคคล,1,researcher_id,รหัสนักวิจัย (เชื่อม A1),M
C5,ตัวชี้วัดผลงานรายบุคคล,2,as_of_date,วันที่นับข้อมูล YYYY-MM-DD,M
C5,ตัวชี้วัดผลงานรายบุคคล,3,source,Scopus/SciVal/Web of Science/Google Scholar,M
C5,ตัวชี้วัดผลงานรายบุคคล,4,document_count,จำนวนผลงานในฐานข้อมูล,M
C5,ตัวชี้วัดผลงานรายบุคคล,5,citation_count,จำนวนการอ้างอิงรวม,M
C5,ตัวชี้วัดผลงานรายบุคคล,6,h_index,h-index,M
C5,ตัวชี้วัดผลงานรายบุคคล,7,q1_count,จำนวนผลงานในวารสาร Q1,R
C5,ตัวชี้วัดผลงานรายบุคคล,8,q2_count,จำนวนผลงานในวารสาร Q2,R
C5,ตัวชี้วัดผลงานรายบุคคล,9,q3_count,จำนวนผลงานในวารสาร Q3,O
C5,ตัวชี้วัดผลงานรายบุคคล,10,q4_count,จำนวนผลงานในวารสาร Q4,O
,,,,,
C6,วิทยากร/ประชุมวิชาการนานาชาติ,1,engagement_id,รหัสรายการ,M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,2,researcher_id,รหัสนักวิจัย (เชื่อม A1),M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,3,engagement_type,keynote/invited speaker/session chair/กรรมการวิชาการ,M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,4,event_name,ชื่อการประชุม/กิจกรรม,M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,5,event_date,วันที่จัด YYYY-MM-DD,M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,6,country,ประเทศที่จัด,R
C6,วิทยากร/ประชุมวิชาการนานาชาติ,7,is_international,เป็นระดับนานาชาติหรือไม่ Y/N,M
C6,วิทยากร/ประชุมวิชาการนานาชาติ,8,organizer,หน่วยงานผู้จัด,R
,,,,,
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,1,transfer_id,รหัสรายการ,M
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,2,output_id,รหัสผลงาน (เชื่อม B1),M
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,3,user_organization,หน่วยงาน/กลุ่มผู้นำไปใช้ประโยชน์,M
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,4,usage_description,ลักษณะการนำไปใช้,M
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,5,transfer_date,วันที่ถ่ายทอด/เริ่มใช้ YYYY-MM-DD,R
C7,การถ่ายทอดเทคโนโลยี/ผู้ใช้ประโยชน์,6,evidence_url,ลิงก์หลักฐาน,R
